"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","Starting Salary","Current Salary","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"211",32,"Yes","Travel_Rarely",1045,"Sales",4,4,"Medical",1,291,4,"Male",32,1,3,"Sales Executive",4,"Married",41600,103248,1,"Y","No",11,3,3,80,0,14,2,2,14,8,9,8
"408",45,"No","Travel_Rarely",192,"Research & Development",10,2,"Life Sciences",1,544,1,"Male",69,3,1,"Research Scientist",4,"Married",10616,38620,3,"Y","No",21,4,4,80,2,8,3,2,2,2,0,2
"1387",26,"No","Travel_Rarely",157,"Research & Development",1,3,"Medical",1,1952,3,"Male",95,3,1,"Laboratory Technician",1,"Single",11468,80024,0,"Y","No",13,3,4,80,0,8,6,2,7,7,7,6
"906",29,"No","Travel_Rarely",694,"Research & Development",1,3,"Life Sciences",1,1264,4,"Female",87,2,4,"Research Director",4,"Divorced",64496,13692,3,"Y","No",14,3,2,80,2,9,2,2,7,7,1,7
"1315",45,"No","Non-Travel",589,"Sales",2,4,"Life Sciences",1,1845,3,"Female",67,3,2,"Sales Executive",3,"Married",20616,78660,4,"Y","No",22,4,2,80,2,10,3,4,8,7,5,7
"746",55,"No","Travel_Frequently",135,"Research & Development",18,4,"Medical",1,1034,3,"Male",62,3,2,"Healthcare Representative",2,"Married",25540,51968,3,"Y","Yes",14,3,4,80,2,17,3,3,8,7,6,7
"523",37,"No","Travel_Rarely",1225,"Research & Development",10,2,"Life Sciences",1,715,4,"Male",80,4,1,"Research Scientist",4,"Single",18720,60928,3,"Y","No",17,3,1,80,0,4,2,3,1,0,0,0
"1358",42,"No","Travel_Rarely",1396,"Research & Development",6,3,"Medical",1,1911,3,"Male",83,3,3,"Research Director",1,"Married",53392,59368,9,"Y","No",13,3,2,80,1,18,3,4,13,7,5,7
"801",28,"Yes","Travel_Frequently",1009,"Research & Development",1,3,"Medical",1,1111,1,"Male",45,2,1,"Laboratory Technician",2,"Divorced",10384,28640,1,"Y","No",15,3,1,80,2,1,2,3,1,0,0,0
"227",37,"No","Travel_Frequently",319,"Sales",4,4,"Marketing",1,311,1,"Male",41,3,1,"Sales Representative",4,"Divorced",11172,10156,4,"Y","No",17,3,3,80,1,13,2,3,9,8,5,8
"1066",55,"No","Travel_Rarely",1229,"Research & Development",4,4,"Life Sciences",1,1501,4,"Male",30,3,2,"Healthcare Representative",3,"Married",16140,64572,0,"Y","Yes",16,3,2,80,0,4,2,3,3,2,1,2
"269",45,"No","Travel_Rarely",1385,"Research & Development",20,2,"Medical",1,372,3,"Male",79,3,4,"Healthcare Representative",4,"Married",53984,30004,0,"Y","Yes",14,3,2,80,0,21,2,3,20,7,4,10
"1355",56,"Yes","Travel_Rarely",1162,"Research & Development",24,2,"Life Sciences",1,1907,1,"Male",97,3,1,"Laboratory Technician",4,"Single",10348,41044,1,"Y","No",16,3,4,80,0,5,3,3,4,2,1,0
"1357",41,"No","Travel_Rarely",337,"Sales",8,3,"Marketing",1,1909,3,"Female",54,3,2,"Sales Executive",2,"Married",17572,107364,5,"Y","No",21,4,3,80,1,14,3,3,5,4,1,4
"1364",33,"No","Travel_Rarely",217,"Sales",10,4,"Marketing",1,1924,2,"Male",43,3,2,"Sales Executive",3,"Single",21948,41640,1,"Y","No",14,3,2,80,0,10,2,2,10,4,0,9
"1334",46,"Yes","Travel_Rarely",1254,"Sales",10,3,"Life Sciences",1,1869,3,"Female",64,3,3,"Sales Executive",2,"Married",29256,56044,5,"Y","No",21,4,3,80,3,14,2,3,8,7,0,7
"6",32,"No","Travel_Frequently",1005,"Research & Development",2,2,"Life Sciences",1,8,4,"Male",79,3,1,"Laboratory Technician",4,"Single",12272,47456,0,"Y","No",13,3,3,80,0,8,2,2,7,7,3,6
"1465",26,"No","Travel_Rarely",1167,"Sales",5,3,"Other",1,2060,4,"Female",30,2,1,"Sales Representative",3,"Single",11864,85512,0,"Y","No",18,3,4,80,0,5,2,3,4,2,0,0
"529",50,"Yes","Travel_Frequently",562,"Sales",8,2,"Technical Degree",1,723,2,"Male",50,3,2,"Sales Executive",3,"Married",27184,93808,3,"Y","Yes",14,3,1,80,1,18,4,3,4,3,1,3
"1253",34,"No","Travel_Rarely",181,"Research & Development",2,4,"Medical",1,1755,4,"Male",97,4,1,"Research Scientist",4,"Married",11728,22344,0,"Y","Yes",14,3,1,80,3,6,3,3,5,0,1,2
"759",59,"No","Travel_Rarely",1089,"Sales",1,2,"Technical Degree",1,1048,2,"Male",66,3,3,"Manager",4,"Married",47616,44152,3,"Y","Yes",14,3,3,80,1,14,1,1,6,4,0,4
"1042",28,"No","Travel_Rarely",866,"Sales",5,3,"Medical",1,1469,4,"Male",84,3,2,"Sales Executive",1,"Single",33852,93960,0,"Y","No",18,3,4,80,0,6,4,3,5,4,1,3
"698",29,"No","Travel_Frequently",1404,"Sales",20,3,"Technical Degree",1,974,3,"Female",84,3,1,"Sales Representative",4,"Married",8628,72812,1,"Y","No",15,3,2,80,1,3,5,3,3,1,0,2
"18",22,"No","Non-Travel",1123,"Research & Development",16,2,"Medical",1,22,4,"Male",96,4,1,"Laboratory Technician",4,"Divorced",11740,29296,1,"Y","Yes",13,3,2,80,2,1,2,2,1,0,0,0
"428",60,"No","Travel_Frequently",1499,"Sales",28,3,"Marketing",1,573,3,"Female",80,2,3,"Sales Executive",1,"Married",41064,11380,4,"Y","No",19,3,4,80,0,22,5,4,18,13,13,11
"1424",22,"No","Travel_Rarely",581,"Research & Development",1,2,"Life Sciences",1,2007,4,"Male",63,3,1,"Research Scientist",3,"Single",13500,70496,0,"Y","No",12,3,4,80,0,4,2,4,3,2,1,2
"1204",53,"No","Travel_Rarely",1395,"Research & Development",24,4,"Medical",1,1689,2,"Male",48,4,3,"Healthcare Representative",4,"Married",28020,13832,3,"Y","No",15,3,3,80,0,11,2,3,4,3,1,2
"232",42,"No","Travel_Rarely",532,"Research & Development",4,2,"Technical Degree",1,319,3,"Male",58,3,5,"Manager",4,"Married",76928,19732,1,"Y","No",11,3,4,80,0,22,3,3,22,17,11,15
"962",35,"No","Travel_Frequently",482,"Research & Development",4,4,"Life Sciences",1,1350,3,"Male",87,3,2,"Research Scientist",3,"Single",16996,10760,1,"Y","Yes",11,3,2,80,0,9,3,3,9,6,1,1
"69",35,"No","Travel_Frequently",664,"Research & Development",1,3,"Medical",1,88,2,"Male",79,3,1,"Research Scientist",1,"Married",8776,23472,4,"Y","No",13,3,4,80,1,5,2,2,3,2,1,2
"1226",45,"No","Travel_Rarely",1005,"Research & Development",28,2,"Technical Degree",1,1719,4,"Female",48,2,4,"Research Director",2,"Single",66816,68476,1,"Y","No",11,3,3,80,0,21,2,3,21,6,8,6
"1179",20,"No","Travel_Rarely",1141,"Sales",2,3,"Medical",1,1657,3,"Female",31,3,1,"Sales Representative",3,"Single",11132,53004,1,"Y","No",19,3,1,80,0,2,3,3,2,2,2,2
"612",35,"No","Travel_Rarely",950,"Research & Development",7,3,"Other",1,845,3,"Male",59,3,3,"Manufacturing Director",3,"Single",40884,75476,3,"Y","No",21,4,2,80,0,17,3,4,8,5,1,6
"1396",31,"Yes","Travel_Frequently",754,"Sales",26,4,"Marketing",1,1967,1,"Male",63,3,2,"Sales Executive",4,"Married",22468,84300,1,"Y","Yes",11,3,3,80,0,10,4,3,10,7,0,8
"821",35,"No","Travel_Frequently",1182,"Sales",11,2,"Marketing",1,1137,4,"Male",54,3,2,"Sales Executive",4,"Divorced",19872,74000,1,"Y","No",11,3,4,80,1,5,3,3,5,2,0,2
"1254",33,"No","Non-Travel",1283,"Sales",2,3,"Marketing",1,1756,4,"Female",62,3,2,"Sales Executive",2,"Single",20588,42788,8,"Y","No",15,3,4,80,0,13,2,2,11,7,1,7
"346",23,"No","Travel_Rarely",1309,"Research & Development",26,1,"Life Sciences",1,465,3,"Male",83,3,1,"Research Scientist",4,"Divorced",11616,64368,1,"Y","No",12,3,3,80,2,4,2,2,4,2,0,2
"23",34,"No","Travel_Rarely",419,"Research & Development",7,4,"Life Sciences",1,28,1,"Female",53,3,3,"Research Director",2,"Single",47976,85172,0,"Y","No",11,3,3,80,0,13,4,3,12,6,2,11
"916",21,"Yes","Travel_Frequently",251,"Research & Development",10,2,"Life Sciences",1,1279,1,"Female",45,2,1,"Laboratory Technician",3,"Single",10500,101232,1,"Y","No",20,4,3,80,0,2,2,1,2,2,2,2
"934",28,"No","Travel_Rarely",640,"Research & Development",1,3,"Technical Degree",1,1301,4,"Male",84,3,1,"Research Scientist",1,"Single",8320,18928,2,"Y","No",11,3,2,80,0,5,2,2,3,2,1,2
"3",37,"Yes","Travel_Rarely",1373,"Research & Development",2,2,"Other",1,4,4,"Male",92,2,1,"Laboratory Technician",3,"Single",8360,9584,6,"Y","Yes",15,3,2,80,0,7,3,3,0,0,0,0
"225",31,"No","Non-Travel",979,"Research & Development",1,4,"Medical",1,308,3,"Male",90,1,2,"Manufacturing Director",3,"Married",17380,17524,0,"Y","No",12,3,4,80,1,6,2,3,5,4,1,4
"366",46,"No","Non-Travel",1144,"Research & Development",7,4,"Medical",1,487,3,"Female",30,3,2,"Manufacturing Director",3,"Married",21032,64176,2,"Y","No",14,3,3,80,0,7,2,4,1,0,0,0
"171",27,"No","Travel_Rarely",1157,"Research & Development",17,3,"Technical Degree",1,233,3,"Male",51,3,1,"Research Scientist",2,"Married",12232,53456,0,"Y","Yes",16,3,4,80,1,6,3,2,5,2,1,1
"577",27,"No","Travel_Frequently",829,"Sales",8,1,"Marketing",1,800,3,"Male",84,3,2,"Sales Executive",4,"Married",17368,96032,0,"Y","No",19,3,2,80,1,5,3,3,4,2,1,1
"1111",35,"Yes","Travel_Rarely",104,"Research & Development",2,3,"Life Sciences",1,1569,1,"Female",69,3,1,"Laboratory Technician",1,"Divorced",8296,106476,1,"Y","Yes",12,3,4,80,1,1,2,3,1,0,0,0
"392",40,"No","Travel_Rarely",555,"Research & Development",2,3,"Medical",1,521,2,"Female",78,2,2,"Laboratory Technician",3,"Married",13792,53744,6,"Y","No",22,4,2,80,1,20,3,3,1,0,0,0
"356",26,"No","Travel_Rarely",933,"Sales",1,3,"Life Sciences",1,476,3,"Male",57,3,2,"Sales Executive",3,"Married",21184,80624,1,"Y","No",17,3,2,80,1,8,3,3,8,7,7,7
"129",22,"No","Travel_Rarely",594,"Research & Development",2,1,"Technical Degree",1,169,3,"Male",100,3,1,"Laboratory Technician",4,"Married",10092,77196,0,"Y","No",14,3,3,80,1,3,2,3,2,1,2,1
"1161",45,"No","Travel_Rarely",1329,"Research & Development",2,2,"Other",1,1635,4,"Female",59,2,2,"Manufacturing Director",4,"Divorced",23080,21552,1,"Y","No",19,3,1,80,2,10,3,3,10,7,3,9
"922",28,"No","Travel_Frequently",791,"Research & Development",1,4,"Medical",1,1286,4,"Male",44,3,1,"Laboratory Technician",3,"Single",8616,27368,0,"Y","Yes",11,3,3,80,0,5,2,2,4,2,0,2
"835",34,"No","Travel_Rarely",1400,"Sales",9,1,"Life Sciences",1,1163,2,"Female",70,3,2,"Sales Executive",3,"Married",22856,23316,1,"Y","No",20,4,1,80,0,6,3,2,6,5,1,3
"760",45,"No","Travel_Rarely",788,"Human Resources",24,4,"Medical",1,1049,2,"Male",36,3,1,"Human Resources",2,"Single",8708,33272,1,"Y","No",16,3,1,80,0,6,3,3,6,3,0,4
"984",34,"No","Travel_Rarely",404,"Research & Development",2,4,"Technical Degree",1,1383,3,"Female",98,3,2,"Healthcare Representative",4,"Single",26748,24652,1,"Y","No",11,3,4,80,0,14,2,4,14,11,4,11
"1402",55,"No","Travel_Rarely",189,"Human Resources",26,4,"Human Resources",1,1973,3,"Male",71,4,5,"Manager",2,"Married",78544,103244,4,"Y","Yes",18,3,1,80,1,35,0,3,10,9,1,4
"625",53,"No","Travel_Rarely",661,"Sales",7,2,"Marketing",1,862,1,"Female",78,2,3,"Sales Executive",4,"Married",43736,82860,7,"Y","Yes",18,3,4,80,1,35,3,3,5,2,0,4
"1168",35,"Yes","Travel_Rarely",763,"Sales",15,2,"Medical",1,1645,1,"Male",59,1,2,"Sales Executive",4,"Divorced",21760,88392,6,"Y","Yes",14,3,4,80,2,7,2,2,2,2,2,2
"674",33,"No","Travel_Rarely",1198,"Research & Development",1,4,"Other",1,939,3,"Male",100,2,1,"Research Scientist",1,"Single",11196,13356,3,"Y","Yes",11,3,2,80,0,6,1,3,3,2,0,2
"1088",34,"No","Travel_Rarely",1440,"Sales",7,2,"Technical Degree",1,1541,2,"Male",55,3,1,"Sales Representative",3,"Married",9232,19776,0,"Y","Yes",25,4,2,80,1,12,4,3,11,10,5,7
"1188",38,"No","Travel_Frequently",1189,"Research & Development",1,3,"Life Sciences",1,1668,4,"Male",90,3,2,"Research Scientist",4,"Married",18940,39468,7,"Y","No",15,3,4,80,2,19,4,4,13,11,2,9
"993",39,"No","Non-Travel",1485,"Research & Development",25,2,"Life Sciences",1,1397,3,"Male",71,3,3,"Healthcare Representative",3,"Married",43680,13796,3,"Y","No",21,4,2,80,1,13,2,3,6,4,0,5
"193",35,"Yes","Travel_Rarely",556,"Research & Development",23,2,"Life Sciences",1,261,2,"Male",50,2,2,"Manufacturing Director",3,"Married",23664,61988,3,"Y","Yes",13,3,1,80,0,8,1,3,1,0,0,1
"127",58,"Yes","Travel_Rarely",147,"Research & Development",23,4,"Medical",1,165,4,"Female",94,3,3,"Healthcare Representative",4,"Married",41248,13860,1,"Y","No",12,3,4,80,1,40,3,2,40,10,15,6
"657",32,"Yes","Travel_Rarely",374,"Research & Development",25,4,"Life Sciences",1,911,1,"Male",87,3,1,"Laboratory Technician",4,"Single",11180,72064,1,"Y","Yes",24,4,3,80,0,1,2,1,1,0,0,1
"1227",32,"No","Travel_Frequently",585,"Research & Development",10,3,"Life Sciences",1,1720,1,"Male",56,3,1,"Research Scientist",3,"Married",13732,69440,6,"Y","No",13,3,1,80,1,10,3,2,5,2,1,3
"602",40,"No","Travel_Frequently",720,"Research & Development",16,4,"Medical",1,832,1,"Male",51,2,2,"Laboratory Technician",3,"Single",20376,47932,6,"Y","No",14,3,4,80,0,10,6,3,1,0,0,0
"928",36,"No","Travel_Rarely",429,"Research & Development",2,4,"Life Sciences",1,1294,3,"Female",53,3,2,"Manufacturing Director",2,"Single",21640,9292,9,"Y","Yes",11,3,4,80,0,18,2,3,16,14,5,12
"558",35,"No","Non-Travel",1225,"Research & Development",2,4,"Life Sciences",1,771,4,"Female",61,3,2,"Healthcare Representative",1,"Divorced",20372,19044,2,"Y","No",11,3,1,80,1,16,2,4,1,0,0,0
"1131",35,"No","Travel_Rarely",750,"Research & Development",28,3,"Life Sciences",1,1596,2,"Male",46,4,2,"Laboratory Technician",3,"Married",13628,101392,1,"Y","No",17,3,4,80,2,10,3,2,10,9,6,8
"483",31,"Yes","Travel_Rarely",1365,"Sales",13,4,"Medical",1,650,2,"Male",46,3,2,"Sales Executive",1,"Divorced",16932,46048,2,"Y","No",17,3,3,80,0,9,2,1,3,1,1,2
"1044",53,"No","Travel_Rarely",447,"Research & Development",2,3,"Medical",1,1472,4,"Male",39,4,4,"Research Director",2,"Single",66392,79056,4,"Y","No",12,3,2,80,0,35,2,2,9,8,8,8
"1239",23,"No","Travel_Rarely",160,"Research & Development",4,1,"Medical",1,1735,3,"Female",51,3,1,"Laboratory Technician",2,"Single",13180,51448,1,"Y","No",13,3,3,80,0,3,3,1,3,2,1,2
"715",50,"No","Travel_Rarely",1126,"Research & Development",1,2,"Medical",1,997,4,"Male",66,3,4,"Research Director",4,"Divorced",69596,26460,9,"Y","No",22,4,3,80,1,32,1,2,5,4,1,3
"1324",28,"No","Non-Travel",280,"Human Resources",1,2,"Life Sciences",1,1858,3,"Male",43,3,1,"Human Resources",4,"Divorced",10824,41976,1,"Y","No",15,3,2,80,1,3,2,3,3,2,2,2
"1105",29,"No","Travel_Rarely",598,"Research & Development",9,3,"Life Sciences",1,1558,3,"Male",91,4,1,"Research Scientist",3,"Married",9804,89504,6,"Y","No",18,3,1,80,2,5,2,2,1,0,0,0
"842",24,"No","Travel_Rarely",477,"Research & Development",24,3,"Medical",1,1173,4,"Male",49,3,1,"Laboratory Technician",2,"Single",14388,25636,8,"Y","No",22,4,4,80,0,6,2,3,4,3,1,2
"952",41,"No","Non-Travel",256,"Sales",10,2,"Medical",1,1329,3,"Male",40,1,2,"Sales Executive",2,"Single",24604,88296,1,"Y","No",13,3,1,80,0,19,4,3,19,2,11,9
"1445",56,"Yes","Travel_Rarely",310,"Research & Development",7,2,"Technical Degree",1,2032,4,"Male",72,3,1,"Laboratory Technician",3,"Married",9356,14664,8,"Y","No",11,3,4,80,1,14,4,1,10,9,9,8
"247",33,"No","Travel_Rarely",832,"Research & Development",5,4,"Life Sciences",1,338,3,"Female",63,2,1,"Research Scientist",4,"Married",11644,59104,1,"Y","No",13,3,3,80,1,2,2,2,2,2,0,2
"144",30,"No","Travel_Rarely",438,"Research & Development",18,3,"Life Sciences",1,194,1,"Female",75,3,1,"Research Scientist",3,"Single",10528,95640,1,"Y","No",14,3,3,80,0,5,4,2,5,4,0,4
"518",25,"No","Travel_Rarely",810,"Sales",8,3,"Life Sciences",1,707,4,"Male",57,4,2,"Sales Executive",2,"Married",19404,62712,0,"Y","No",22,4,3,80,1,4,4,3,3,2,1,2
"81",30,"No","Travel_Rarely",852,"Research & Development",1,1,"Life Sciences",1,104,4,"Male",55,2,2,"Laboratory Technician",4,"Married",20504,63992,1,"Y","Yes",12,3,3,80,2,10,1,2,10,8,3,0
"248",34,"No","Travel_Rarely",470,"Research & Development",2,4,"Life Sciences",1,339,4,"Male",84,2,2,"Manufacturing Director",1,"Married",23828,94748,6,"Y","No",13,3,2,80,1,13,3,3,11,9,5,9
"393",54,"No","Travel_Rarely",821,"Research & Development",5,2,"Medical",1,522,1,"Male",86,3,5,"Research Director",1,"Married",77624,34036,4,"Y","No",11,3,3,80,1,24,4,2,4,2,1,2
"501",32,"No","Travel_Rarely",646,"Research & Development",9,4,"Life Sciences",1,679,1,"Female",92,3,2,"Research Scientist",4,"Married",25288,72356,1,"Y","Yes",12,3,4,80,1,6,2,2,6,4,0,5
"1339",30,"Yes","Travel_Rarely",945,"Sales",9,3,"Medical",1,1876,2,"Male",89,3,1,"Sales Representative",4,"Single",4324,64076,1,"Y","No",13,3,3,80,0,1,3,2,1,0,0,0
"497",21,"No","Travel_Rarely",1343,"Sales",22,1,"Technical Degree",1,669,3,"Male",49,3,1,"Sales Representative",3,"Single",13788,97776,1,"Y","No",11,3,3,80,0,3,2,3,3,2,1,2
"1009",54,"No","Travel_Rarely",971,"Research & Development",1,3,"Medical",1,1422,4,"Female",54,3,4,"Research Director",4,"Single",69312,22608,6,"Y","No",19,3,4,80,0,29,3,2,20,7,12,7
"1310",26,"No","Travel_Rarely",572,"Sales",10,3,"Medical",1,1836,3,"Male",46,3,2,"Sales Executive",4,"Single",18736,36500,1,"Y","No",13,3,1,80,0,5,4,3,5,3,1,2
"785",38,"No","Travel_Rarely",330,"Research & Development",17,1,"Life Sciences",1,1088,3,"Female",65,2,3,"Healthcare Representative",3,"Married",35292,98432,0,"Y","No",18,3,1,80,1,20,4,2,19,9,1,9
"609",55,"Yes","Travel_Rarely",436,"Sales",2,1,"Medical",1,842,3,"Male",37,3,2,"Sales Executive",4,"Single",20640,86076,4,"Y","No",16,3,3,80,0,12,3,2,9,7,7,3
"1069",28,"Yes","Travel_Frequently",289,"Research & Development",2,2,"Medical",1,1504,3,"Male",38,2,1,"Laboratory Technician",1,"Single",10244,21420,7,"Y","No",11,3,3,80,0,8,2,2,0,0,0,0
"1259",29,"No","Travel_Rarely",590,"Research & Development",4,3,"Technical Degree",1,1762,4,"Female",91,2,1,"Research Scientist",1,"Divorced",8436,40028,1,"Y","No",13,3,3,80,1,1,2,3,1,0,0,0
"27",32,"Yes","Travel_Frequently",1125,"Research & Development",16,1,"Life Sciences",1,33,2,"Female",72,1,1,"Research Scientist",1,"Single",15676,18724,1,"Y","Yes",22,4,2,80,0,10,5,3,10,2,6,7
"969",36,"No","Travel_Frequently",607,"Sales",7,3,"Marketing",1,1362,1,"Female",83,4,2,"Sales Executive",1,"Married",18556,9044,2,"Y","No",16,3,4,80,1,17,2,2,15,7,6,13
"282",42,"No","Travel_Rarely",635,"Sales",1,1,"Life Sciences",1,387,2,"Male",99,3,2,"Sales Executive",3,"Married",19628,98128,1,"Y","No",25,4,3,80,0,20,3,3,20,16,11,6
"102",32,"No","Travel_Rarely",827,"Research & Development",1,1,"Life Sciences",1,134,4,"Male",71,3,1,"Research Scientist",1,"Single",11824,60712,1,"Y","No",13,3,4,80,0,1,2,3,1,0,0,0
"791",33,"No","Travel_Rarely",654,"Research & Development",5,3,"Life Sciences",1,1099,4,"Male",34,2,3,"Healthcare Representative",4,"Divorced",28476,84856,4,"Y","No",15,3,3,80,1,9,2,3,3,2,1,2
"1067",33,"No","Travel_Rarely",1099,"Research & Development",4,4,"Medical",1,1502,1,"Female",82,2,1,"Laboratory Technician",2,"Married",15352,32768,8,"Y","No",11,3,4,80,0,8,5,3,5,4,0,2
"385",36,"No","Travel_Rarely",164,"Sales",2,2,"Medical",1,513,2,"Male",61,2,3,"Sales Executive",3,"Married",30384,15236,1,"Y","No",13,3,2,80,2,10,2,3,10,9,9,0
"21",24,"No","Non-Travel",673,"Research & Development",11,2,"Other",1,26,1,"Female",96,4,2,"Manufacturing Director",3,"Divorced",16044,32928,0,"Y","No",18,3,4,80,1,5,5,2,4,2,1,3
"860",29,"No","Travel_Rarely",942,"Research & Development",15,1,"Life Sciences",1,1202,2,"Female",69,1,1,"Research Scientist",4,"Married",8672,107732,0,"Y","Yes",18,3,1,80,1,6,2,2,5,4,1,3
"1186",43,"No","Travel_Rarely",1291,"Research & Development",15,2,"Life Sciences",1,1666,3,"Male",65,2,4,"Research Director",3,"Married",70412,14100,1,"Y","No",24,4,1,80,1,14,3,3,14,10,6,11
"379",34,"Yes","Non-Travel",1362,"Sales",19,3,"Marketing",1,502,1,"Male",67,4,2,"Sales Executive",4,"Single",21216,18608,8,"Y","Yes",13,3,2,80,0,9,3,2,5,2,0,4
"148",41,"No","Travel_Frequently",857,"Research & Development",10,3,"Life Sciences",1,199,4,"Male",91,2,4,"Manager",1,"Divorced",68724,51552,4,"Y","No",13,3,2,80,1,21,2,2,7,6,7,7
"771",46,"No","Travel_Rarely",430,"Research & Development",1,4,"Medical",1,1069,4,"Male",40,3,5,"Research Director",4,"Divorced",78508,85780,9,"Y","No",17,3,4,80,2,23,0,3,2,2,2,2
"534",40,"No","Travel_Frequently",580,"Sales",5,4,"Life Sciences",1,729,4,"Male",48,2,3,"Sales Executive",1,"Married",41900,95088,5,"Y","Yes",21,4,3,80,1,20,2,3,18,13,1,12
"179",46,"No","Travel_Rarely",526,"Sales",1,2,"Marketing",1,244,2,"Female",92,3,3,"Sales Executive",1,"Divorced",41812,8548,1,"Y","No",25,4,3,80,3,24,2,3,24,13,15,7
"827",38,"No","Travel_Rarely",433,"Human Resources",1,3,"Human Resources",1,1152,3,"Male",37,4,1,"Human Resources",3,"Married",11376,24016,1,"Y","No",13,3,4,80,1,7,2,4,7,6,5,0
"605",42,"No","Travel_Rarely",933,"Research & Development",29,3,"Life Sciences",1,836,2,"Male",98,3,2,"Manufacturing Director",2,"Married",17736,47224,1,"Y","No",13,3,4,80,1,10,3,2,9,8,7,8
"389",42,"No","Travel_Rarely",201,"Research & Development",1,4,"Life Sciences",1,517,2,"Female",95,3,1,"Laboratory Technician",1,"Divorced",10304,81960,3,"Y","No",16,3,2,80,1,8,5,3,5,2,1,2
"275",21,"No","Travel_Rarely",996,"Research & Development",3,2,"Medical",1,379,4,"Male",100,2,1,"Research Scientist",3,"Single",12920,42124,1,"Y","No",17,3,1,80,0,3,4,4,3,2,1,0
"1265",55,"No","Travel_Rarely",478,"Research & Development",2,3,"Medical",1,1770,3,"Male",60,2,5,"Research Director",1,"Married",76152,79220,8,"Y","No",12,3,2,80,3,34,2,3,1,0,0,0
"480",24,"Yes","Travel_Frequently",1287,"Research & Development",7,3,"Life Sciences",1,647,1,"Female",55,3,1,"Laboratory Technician",3,"Married",11544,56672,1,"Y","Yes",16,3,4,80,1,6,4,3,6,3,1,2
"92",51,"No","Travel_Rarely",632,"Sales",21,4,"Marketing",1,120,3,"Male",71,3,2,"Sales Executive",4,"Single",21764,33692,0,"Y","Yes",22,4,4,80,0,11,2,1,10,7,1,0
"745",37,"Yes","Travel_Rarely",1141,"Research & Development",11,2,"Medical",1,1033,1,"Female",61,1,2,"Healthcare Representative",2,"Married",19108,57528,5,"Y","No",15,3,1,80,0,15,2,1,1,0,0,0
"1011",55,"No","Travel_Rarely",1136,"Research & Development",1,4,"Medical",1,1424,2,"Male",81,4,4,"Research Director",4,"Divorced",58928,49656,2,"Y","No",13,3,4,80,2,31,4,4,7,7,0,0
"957",56,"No","Travel_Rarely",206,"Human Resources",8,4,"Life Sciences",1,1338,4,"Male",99,3,5,"Manager",2,"Single",78868,16088,6,"Y","No",14,3,1,80,0,36,4,3,7,3,7,7
"898",59,"No","Travel_Rarely",326,"Sales",3,3,"Life Sciences",1,1254,3,"Female",48,2,2,"Sales Executive",4,"Single",20684,65960,5,"Y","No",17,3,4,80,0,13,2,3,6,1,0,5
"1332",48,"No","Travel_Rarely",1224,"Research & Development",10,3,"Life Sciences",1,1867,4,"Male",91,2,5,"Research Director",2,"Married",78660,54332,4,"Y","No",12,3,4,80,0,29,3,3,22,10,12,9
"1236",46,"No","Travel_Rarely",1277,"Sales",2,3,"Life Sciences",1,1732,3,"Male",74,3,3,"Sales Executive",4,"Divorced",41472,22384,4,"Y","Yes",12,3,2,80,1,13,5,2,10,6,0,3
"446",55,"No","Travel_Rarely",1117,"Sales",18,5,"Life Sciences",1,597,1,"Female",83,3,4,"Manager",2,"Single",67340,39492,3,"Y","No",23,4,4,80,0,37,2,3,10,9,7,7
"640",49,"No","Travel_Rarely",1418,"Research & Development",1,3,"Technical Degree",1,887,3,"Female",36,3,1,"Research Scientist",1,"Married",14320,42216,2,"Y","No",16,3,2,80,1,7,2,3,4,2,0,2
"721",30,"Yes","Travel_Rarely",138,"Research & Development",22,3,"Life Sciences",1,1004,1,"Female",48,3,1,"Research Scientist",3,"Married",8528,46156,4,"Y","Yes",11,3,2,80,0,7,2,3,5,2,0,1
"933",29,"Yes","Travel_Rarely",806,"Research & Development",7,3,"Technical Degree",1,1299,2,"Female",39,3,1,"Laboratory Technician",3,"Divorced",13356,69140,3,"Y","Yes",13,3,1,80,2,10,2,3,7,7,7,7
"1148",49,"No","Travel_Rarely",722,"Research & Development",25,4,"Life Sciences",1,1617,3,"Female",84,3,1,"Laboratory Technician",1,"Married",12844,88408,1,"Y","No",14,3,4,80,1,10,3,2,9,6,1,4
"1194",38,"No","Travel_Frequently",148,"Research & Development",2,3,"Medical",1,1675,4,"Female",42,2,1,"Laboratory Technician",2,"Single",9760,95304,1,"Y","No",22,4,2,80,0,4,3,3,4,3,3,3
"515",33,"Yes","Travel_Frequently",1076,"Research & Development",3,3,"Life Sciences",1,702,1,"Male",70,3,1,"Research Scientist",1,"Single",13392,12656,1,"Y","Yes",11,3,1,80,0,10,3,3,10,8,9,7
